image_path,gender
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/33.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/33.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/34.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/35.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/35.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/36.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/37.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/38.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/39.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/39.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/40.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/40.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/41.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/41.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/42.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/43.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/43.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/44.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/44.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/46.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/47.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/48.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/49.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/49.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/50.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/50.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/51.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/52.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/53.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/54.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/54.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/55.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/55.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/56.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/57.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/57.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/58.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/58.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/59.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/60.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/60.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/61.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/62.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/63.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/64.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/64.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/65.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/65.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/66.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/66.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/67.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/68.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/69.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/70.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/70.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/71.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/71.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/72.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/72.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/73.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/74.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/75.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/75.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/76.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/76.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/77.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/77.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/78.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/79.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/79.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/80.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/80.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/81.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/81.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/82.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/82.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/83.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/83.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/84.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/84.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/85.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/86.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/86.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/87.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/87.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/88.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/89.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/90.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/91.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/92.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/93.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/94.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/94.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/95.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/95.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/96.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/97.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/97.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/98.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/99.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/99.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/100.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/100.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/101.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/101.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/102.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/102.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/103.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/103.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/104.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/104.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/105.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/105.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/106.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/106.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/107.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/107.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/108.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/108.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/110.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/110.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/111.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/111.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/112.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/112.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/113.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/113.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/114.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/115.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/116.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/117.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/118.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/118.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/119.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/119.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/120.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/121.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/122.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/122.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/123.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/123.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/124.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/124.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/125.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/125.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/126.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/127.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/128.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/128.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/129.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/129.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/130.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/130.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/131.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/131.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/132.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/133.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/134.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/134.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/135.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/136.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/137.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/138.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/139.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/139.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/140.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/140.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/142.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/143.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/143.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/144.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/144.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/145.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/145.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/147.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/147.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/148.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/148.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/149.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/149.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/150.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/150.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/151.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/151.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/152.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/152.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/154.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/155.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/156.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/157.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/157.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/158.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/158.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/159.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/159.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/160.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/160.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/161.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/162.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/162.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/163.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/165.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/166.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/167.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/167.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/168.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/169.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/170.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/170.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/171.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/172.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/172.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/173.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/173.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/175.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/175.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/176.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/176.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/177.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/177.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/178.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/178.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/179.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/180.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/181.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/182.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/183.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/183.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/184.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/184.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/185.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/185.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/186.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/186.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/187.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/187.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/188.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/188.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/189.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/190.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/190.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/191.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/192.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/193.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/193.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/194.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/195.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/195.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/196.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/197.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/198.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/199.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/200.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/200.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/201.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/201.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/202.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/202.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/203.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/204.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/204.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/205.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/205.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/206.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/206.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/207.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/207.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/208.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/208.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/209.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/209.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/210.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/210.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/211.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/211.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/212.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/213.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/213.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/214.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/215.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/215.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/216.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/217.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/218.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/218.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/219.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/219.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/221.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/222.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/223.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/225.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/225.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/226.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/226.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/227.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/227.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/femaleeyes/228.jpg,female
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/228.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/229.jpg,male
D:\Programming\My Projects\eye-gender-detection/data/images/maleeyes/230.jpg,male
